session_date,total_sessions,new_users,total_pageviews,bounce_rate_pct,avg_session_duration,sessions_7day_avg,is_anomaly,anomaly_score,severity
2026-05-25,424,111,1864,34.67,320.27,591.43,False,-0.1486286644961537,low
2026-05-26,546,125,2323,25.64,312.29,580.43,False,-0.20407582097718685,low
2026-05-27,517,161,2321,31.72,324.1,575.57,False,-0.19167511627339623,low
2026-05-28,766,111,3006,39.95,284.92,608.57,False,-0.0906607365676676,low
2026-05-29,628,135,2551,39.65,272.77,620.14,False,-0.1520640815734451,low
2026-05-30,329,95,1600,37.99,389.14,555.0,False,-0.04600637164004173,low
2026-05-31,635,188,3341,61.1,323.25,549.29,False,-0.17381271073829346,low
2026-06-01,546,148,2924,46.89,308.95,566.71,False,-0.1905246232860075,low
2026-06-02,556,178,3073,45.68,330.62,568.14,False,-0.1814540738737585,low
2026-06-03,589,112,3206,38.54,289.39,578.43,False,-0.15993707516806127,low
2026-06-04,841,198,3319,34.72,314.28,589.14,False,-0.09698761318215643,low
2026-06-05,478,163,2356,51.46,336.07,567.71,False,-0.1770821398491081,low
2026-06-06,528,164,2254,58.71,309.93,596.14,False,-0.19613890864800004,low
2026-06-07,474,191,2161,48.52,335.05,573.14,False,-0.1718823550831048,low
2026-06-08,653,155,2720,67.69,319.17,588.43,False,-0.19154678973979744,low
2026-06-09,312,59,1142,31.41,337.68,553.57,False,-0.017156175355725112,low
2026-06-10,671,124,3209,52.76,304.78,565.29,False,-0.1731231315021473,low
2026-06-11,627,175,2643,49.6,354.42,534.71,False,-0.16757803653101822,low
2026-06-12,860,181,4028,56.28,358.52,589.29,True,0.013794214780880942,low
2026-06-13,802,145,3227,46.38,356.35,628.43,False,-0.11487410478874233,low
2026-06-14,572,197,2502,51.75,320.98,642.43,False,-0.20867010641081318,low
2026-06-15,566,156,2621,49.12,318.49,630.0,False,-0.20791462824299067,low
2026-06-16,630,155,2974,29.52,342.9,675.43,False,-0.18304203033594113,low
2026-06-17,700,208,3254,49.29,369.99,679.57,False,-0.09409024496567148,low
2026-06-18,657,161,2498,38.05,249.0,683.86,False,-0.09914792279974305,low
2026-06-19,371,110,1772,53.1,286.91,614.0,False,-0.11436413852873334,low
